noc_2011_code,census_year,noc_2011_description,bc_low_wage,bc_median_wage,bc_high_wage,bc_data_source,bc_reference_period,bc_annual_wage,vic_low_wage,vic_median_wage,vic_high_wage,vic_data_source,vic_reference_period,vic_annual_wage,msw_low_wage,msw_median_wage,msw_high_wage,msw_data_source,msw_reference_period,msw_annual_wage,tok_low_wage,tok_median_wage,tok_high_wage,tok_data_source,tok_reference_period,tok_annual_wage,kot_low_wage,kot_median_wage,kot_high_wage,kot_data_source,kot_reference_period,kot_annual_wage,car_low_wage,car_median_wage,car_high_wage,car_data_source,car_reference_period,car_annual_wage,north_coast_low_wage,north_coast_median_wage,north_coast_high_wage,north_coast_data_source,north_coast_reference_period,north_coast_annual_wage,nechako_low_wage,nechako_median_wage,nechako_high_wage,nechako_data_source,nechako_reference_period,nechako_annual_wage,ne_low_wage,ne_median_wage,ne_high_wage,ne_data_source,ne_reference_period,ne_annual_wage
2145,2011,Petroleum engineers,16.944,49.193,106.473,National Household Survey,2011,HOUR,16.41,30.72,110.26,2006 Census - Statistics Canada,2006,HOUR,15.21,37.35,52.54,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,32.9,33.1,74.01,2006 Census - Statistics Canada,2006,HOUR
2146,2011,Aerospace engineers,17.319,36.245,51.4342,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,17.53,36.663,51.9414,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2147,2011,Computer engineers (except software engineers and designers),19.84,39.49,52.45,Labour Force Survey,2012-2013,HOUR,19.84,39.49,52.45,Labour Force Survey,2012-2013,HOUR,19.84,39.49,52.45,Labour Force Survey,2012-2013,HOUR,14.41,28.69,46.74,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,20.95,29.86,51.77,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2148,2011,"Other professional engineers, n.e.c.",25.64,36.6,50,Labour Force Survey,2012-2013,HOUR,25.64,36.6,50,Labour Force Survey,2012-2013,HOUR,25.64,36.6,50,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2151,2011,Architects,20.6,31.73,42.79,Labour Force Survey,2012-2013,HOUR,20.6,31.73,42.79,Labour Force Survey,2012-2013,HOUR,20.6,31.73,42.79,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2152,2011,Landscape architects,18.951,26.964,60.3444,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,10.453,26.766,68.35,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2153,2011,Urban and land use planners,28,35,46.7,Labour Force Survey,2012-2013,HOUR,28,35,46.7,Labour Force Survey,2012-2013,HOUR,28,35,46.7,Labour Force Survey,2012-2013,HOUR,28,35,46.7,Labour Force Survey,2012-2013,HOUR,21,35,49.36,Employment Insurance Data,2011-2012,HOUR,21,35,49.36,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2154,2011,Land surveyors,18,27,36.77,Employment Insurance Data,2012-2013,HOUR,18,27,36.77,Employment Insurance Data,2012-2013,HOUR,19,27,37.2509,Employment Insurance Data,2012-2013,HOUR,16,27,37.5,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,10.25,25.13,36.8,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,23.04,31.51,49.5,2006 Census - Statistics Canada,2006,HOUR
2161,2011,"Mathematicians, statisticians and actuaries",20.9247,33.08,41.72,Employment Insurance Data,2012-2013,HOUR,20.9247,33.08,41.72,Employment Insurance Data,2012-2013,HOUR,21.9211,34.9567,41.72,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2171,2011,Information systems analysts and consultants,18.46,34.62,48.08,Labour Force Survey,2012-2013,HOUR,21.15,34.38,48.08,Labour Force Survey,2012-2013,HOUR,17.23,36.06,48.08,Labour Force Survey,2012-2013,HOUR,18.46,34.62,48.08,Labour Force Survey,2012-2013,HOUR,21.15,33.65,48.08,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2172,2011,Database analysts and data administrators,14.96,31,47.5,Labour Force Survey,2012-2013,HOUR,14.96,31,47.5,Labour Force Survey,2012-2013,HOUR,13.46,28.57,47.5,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,17.5,31,43.27,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2173,2011,Software engineers and designers,20.67,39.42,60,Labour Force Survey,2012-2013,HOUR,20.67,39.42,60,Labour Force Survey,2012-2013,HOUR,20,39.42,59.73,Labour Force Survey,2012-2013,HOUR,20.67,39.42,60,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2174,2011,Computer programmers and interactive media developers,20,33.65,48.56,Labour Force Survey,2012-2013,HOUR,16,30,48.72,Labour Force Survey,2012-2013,HOUR,20,35,48.56,Labour Force Survey,2012-2013,HOUR,20,33.65,48.56,Labour Force Survey,2012-2013,HOUR,19.23,33.53,48.08,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2175,2011,Web designers and developers,14,21.63,39.11,Labour Force Survey,2012-2013,HOUR,14,23.08,43.27,Labour Force Survey - Statistics Canada,2011-2012,HOUR,14,21.63,39.11,Labour Force Survey,2012-2013,HOUR,14,21.63,39.11,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2211,2011,Chemical technologists and technicians,14.42,21.5,45,Labour Force Survey,2012-2013,HOUR,14.42,21.5,45,Labour Force Survey,2012-2013,HOUR,12.5,19,45.67,Labour Force Survey,2012-2013,HOUR,14.42,21.5,45,Labour Force Survey,2012-2013,HOUR,20.63,22.97,31.99,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2212,2011,Geological and mineral technologists and technicians,17,24.8548,37.3413,Employment Insurance Data,2012-2013,HOUR,18,25,43.27,Employment Insurance Data,2012-2013,HOUR,15.04,25,39.1283,Employment Insurance Data,2012-2013,HOUR,17,25,35.83,Employment Insurance Data,2012-2013,HOUR,10.25,23.79,32.68,2006 Census - Statistics Canada,2006,HOUR,11.63,27.99,30.56,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,16.82,24.02,51.33,2006 Census - Statistics Canada,2006,HOUR
2221,2011,Biological technologists and technicians,15,19.695,26.52,Employment Insurance Data,2012-2013,HOUR,15,18.97,25,Employment Insurance Data,2012-2013,HOUR,15,20.345,29.6946,Employment Insurance Data,2012-2013,HOUR,15,20,25.5,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,16,18,22.56,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2222,2011,Agricultural and fish products inspectors,18.917,29.718,42.4768,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,18.286,28.286,40.2499,National Household Survey,2011,HOUR,10.25,27.04,43.5,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2223,2011,Forestry technologists and technicians,18,26,34.62,Labour Force Survey,2012-2013,HOUR,18,26,34.62,Labour Force Survey,2012-2013,HOUR,18,26,34.62,Labour Force Survey,2012-2013,HOUR,18,26,34.62,Labour Force Survey,2012-2013,HOUR,18,24.35,35,Labour Force Survey - Statistics Canada,2011-2012,HOUR,18,26,34.62,Labour Force Survey,2012-2013,HOUR,18,24.76,31.32,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,18,24.35,35,Labour Force Survey - Statistics Canada,2011-2012,HOUR
2224,2011,Conservation and fishery officers,12.117,32.233,42.6519,National Household Survey,2011,HOUR,12.586,31.331,46.3714,National Household Survey,2011,HOUR,16.364,33.418,40.4223,National Household Survey,2011,HOUR,20.488,35.967,47.2692,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,10.25,27.81,34.86,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,23.14,28.41,32.26,2006 Census - Statistics Canada,2006,HOUR
2225,2011,Landscape and horticulture technicians and specialists,14,18,32,Labour Force Survey,2012-2013,HOUR,14,18,32,Labour Force Survey,2012-2013,HOUR,14,18,32,Labour Force Survey,2012-2013,HOUR,14,18,32,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2231,2011,Civil engineering technologists and technicians,16.05,28,45,Labour Force Survey,2012-2013,HOUR,16.05,28,45,Labour Force Survey,2012-2013,HOUR,16.05,28,45,Labour Force Survey,2012-2013,HOUR,16.05,28,45,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,20,28,48.56,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,19.39,28.89,37.2,2006 Census - Statistics Canada,2006,HOUR
2232,2011,Mechanical engineering technologists and technicians,14.799,28.072,47.1247,National Household Survey,2011,HOUR,22.627,32.107,46.7899,National Household Survey,2011,HOUR,18.6898,27.8773,46.085,Employment Insurance Data,2012-2013,HOUR,17.5,25,40,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2233,2011,Industrial engineering and manufacturing technologists and technicians,11.971,24.734,40.8343,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,10.25,24.239,38.7716,National Household Survey,2011,HOUR,18.27,26.92,43,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2234,2011,Construction estimators,19.23,31.25,40.87,Labour Force Survey,2012-2013,HOUR,17.428,26.376,62.5833,National Household Survey,2011,HOUR,19.23,31.25,40.87,Labour Force Survey,2012-2013,HOUR,19.23,31.25,40.87,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2241,2011,Electrical and electronics engineering technologists and technicians,15,28,40,Labour Force Survey,2012-2013,HOUR,15,28,40,Labour Force Survey,2012-2013,HOUR,14.29,28,40,Labour Force Survey,2012-2013,HOUR,15,28,40,Labour Force Survey,2012-2013,HOUR,18,28,38.67,Labour Force Survey - Statistics Canada,2011-2012,HOUR,18,28,38.67,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,10.25,29.73,69.99,2006 Census - Statistics Canada,2006,HOUR
2242,2011,Electronic service technicians (household and business equipment),15,25,35,Labour Force Survey,2012-2013,HOUR,13.23,24.5,36.54,Labour Force Survey,2011-2012,HOUR,15,24.62,34.34,Labour Force Survey,2012-2013,HOUR,15,25,35,Labour Force Survey,2012-2013,HOUR,13.23,24.5,36.54,Labour Force Survey - Statistics Canada,2011-2012,HOUR,13.23,24.5,36.54,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,13.23,24.5,36.54,Labour Force Survey - Statistics Canada,2011-2012,HOUR
2243,2011,Industrial instrument technicians and mechanics,17.9,26.3216,53.2,Employment Insurance Data,2012-2013,HOUR,18,24.1,41,Employment Insurance Data,2011-2012,HOUR,16,24.15,65,Employment Insurance Data,2012-2013,HOUR,18,24.1,41,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2244,2011,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",21.84,29.355,35.52,Employment Insurance Data,2012-2013,HOUR,21.84,29.355,35.52,Employment Insurance Data,2012-2013,HOUR,24,29.37,34.6544,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2251,2011,Architectural technologists and technicians,16.569,28.879,43.991,National Household Survey,2011,HOUR,10.25,29.247,52.4853,National Household Survey,2011,HOUR,16.535,28.016,45.6515,National Household Survey,2011,HOUR,19.39,27,34.97,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2252,2011,Industrial designers,18.7915,29.2854,47.84,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,18.7915,29.4977,50,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2253,2011,Drafting technologists and technicians,16,22.5,43.27,Labour Force Survey,2012-2013,HOUR,16,22.5,43.27,Labour Force Survey,2012-2013,HOUR,16,23.75,43.27,Labour Force Survey,2012-2013,HOUR,16,22.5,43.27,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,16,23.75,40.38,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,16,23.75,40.38,Labour Force Survey - Statistics Canada,2011-2012,HOUR
2254,2011,Land survey technologists and technicians,18,23,31,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,17.85,23,30,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2255,2011,Technical occupations in geomatics and meteorology,19,25.7096,36.4581,Employment Insurance Data,2012-2013,HOUR,18,26.9951,37.5,Employment Insurance Data,2012-2013,HOUR,19.17,25.94,36.5,Employment Insurance Data,2012-2013,HOUR,19,25.7096,36.4581,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2261,2011,Non-destructive testers and inspection technicians,18.59,30,45.41,Employment Insurance Data,2012-2013,HOUR,18.5,28.53,45,Employment Insurance Data,2011-2012,HOUR,18.59,30,45.41,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2262,2011,Engineering inspectors and regulatory officers,16.679,38.457,67.0926,National Household Survey,2011,HOUR,28.53,36.86,39.29,2006 Census - Statistics Canada,2006,HOUR,16.092,37.981,71.9905,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2263,2011,Inspectors in public and environmental health and occupational health and safety,20,32.86,46.15,Labour Force Survey,2012-2013,HOUR,20,32.86,46.15,Labour Force Survey,2012-2013,HOUR,19.23,32,45.64,Labour Force Survey,2012-2013,HOUR,20,32.86,46.15,Labour Force Survey,2012-2013,HOUR,20,32,40.87,Labour Force Survey - Statistics Canada,2011-2012,HOUR,20,32.86,46.15,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,18,27.08,39.15,Employment Insurance Data,2012-2013,HOUR
2264,2011,Construction inspectors,25,36,45,Labour Force Survey,2012-2013,HOUR,25,36,45,Labour Force Survey,2012-2013,HOUR,25,36,45,Labour Force Survey,2012-2013,HOUR,25,36,45,Labour Force Survey,2012-2013,HOUR,20,31.25,51.4,Labour Force Survey - Statistics Canada,2011-2012,HOUR,20,31.25,51.4,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,20,31.25,51.4,Labour Force Survey - Statistics Canada,2011-2012,HOUR
2271,2011,"Air pilots, flight engineers and flying instructors",15.39,31.25,51.92,Labour Force Survey,2012-2013,HOUR,15.39,31.25,51.92,Labour Force Survey,2012-2013,HOUR,15.39,27.97,51.92,Labour Force Survey,2012-2013,HOUR,15.39,31.25,51.92,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2272,2011,Air traffic controllers and related occupations,22.661,48.831,104.593,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,29.05,38.25,55.34,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2273,2011,"Deck officers, water transport",18.89,37,45,Labour Force Survey,2012-2013,HOUR,18.89,37,45,Labour Force Survey,2012-2013,HOUR,18.89,37,45,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2274,2011,"Engineer officers, water transport",22.9349,31.82,44.1041,Employment Insurance Data,2012-2013,HOUR,23.3698,31.25,41.86,Employment Insurance Data,2012-2013,HOUR,23.445,31.64,48.8853,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2275,2011,Railway traffic controllers and marine traffic regulators,26.147,35.701,45.3017,National Household Survey,2011,HOUR,31.02,32.86,37.36,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2281,2011,Computer network technicians,15.79,25,40,Labour Force Survey,2012-2013,HOUR,15.79,25,40,Labour Force Survey,2012-2013,HOUR,16.35,24.04,42,Labour Force Survey,2012-2013,HOUR,15.79,25,40,Labour Force Survey,2012-2013,HOUR,14.34,25.98,32.2338,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2282,2011,User support technicians,15.87,25.64,42.56,Labour Force Survey,2012-2013,HOUR,15.87,25.64,42.56,Labour Force Survey,2012-2013,HOUR,14,25.71,42.86,Labour Force Survey,2012-2013,HOUR,15.87,25.64,42.56,Labour Force Survey,2012-2013,HOUR,13.26,23.96,43.23,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
2283,2011,Information systems testing technicians,14.384,28.215,45.1702,National Household Survey,2011,HOUR,15,28,47.25,Labour Force Survey - Statistics Canada,2011-2012,HOUR,13.031,28.788,47.2601,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
3011,2011,Nursing co-ordinators and supervisors,21,37.93,45,Labour Force Survey,2012-2013,HOUR,21.95,40,45,Labour Force Survey - Statistics Canada,2011-2012,HOUR,20.401,39.296,53.5751,National Household Survey,2011,HOUR,21.95,40,45,Labour Force Survey - Statistics Canada,2011-2012,HOUR,21.95,40,45,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
3012,2011,Registered nurses and registered psychiatric nurses,22,37,43,Labour Force Survey,2012-2013,HOUR,22,39.25,43,Labour Force Survey,2012-2013,HOUR,21.83,36,42.5,Labour Force Survey,2012-2013,HOUR,30,40,44.08,Labour Force Survey,2012-2013,HOUR,10.55,37.642,43.8718,National Household Survey,2011,HOUR,26.5,35,46,Labour Force Survey,2012-2013,HOUR,22,37,43,Labour Force Survey,2012-2013,HOUR,22,37,43,Labour Force Survey,2012-2013,HOUR,22,37,43,Labour Force Survey,2012-2013,HOUR
3111,2011,Specialist physicians,49944,124209,334897,National Household Survey,2011,YEAR,59995,125160,300095,National Household Survey,2011,YEAR,49679,122586,348918,National Household Survey,2011,YEAR,31012,122960,242662,National Household Survey,2011,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
3112,2011,General practitioners and family physicians,40144,104451,242695,National Household Survey,2011,YEAR,36038,101581,204918,National Household Survey,2011,YEAR,47890,106709,257872,National Household Survey,2011,YEAR,56499,104894,185431,National Household Survey,2011,YEAR,69202,116349,163884,2006 Census - Statistics Canada,2006,YEAR,49247,98725,186377,2006 Census - Statistics Canada,2006,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
3113,2011,Dentists,24155,84991,179832,National Household Survey,2011,YEAR,20786,100221,180111,National Household Survey,2011,YEAR,24192,75250,164664,National Household Survey,2011,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
3114,2011,Veterinarians,32764,78026,139403,National Household Survey,2011,YEAR,20786,76586,148346,National Household Survey,2011,YEAR,31871,77263,120282,National Household Survey,2011,YEAR,51288,78043,124062,National Household Survey,2011,YEAR,,,,NA,NA,YEAR,21185,63669,97163,2006 Census - Statistics Canada,2006,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
3121,2011,Optometrists,20786,78464,145093,National Household Survey,2011,YEAR,31351,85099,165643,2006 Census - Statistics Canada,2006,YEAR,20786,78278,242005,National Household Survey,2011,YEAR,60014,86018,134692,2006 Census - Statistics Canada,2006,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
3122,2011,Chiropractors,20786,64316,100199,National Household Survey,2011,YEAR,20958,59982,119940,National Household Survey,2011,YEAR,20786,65843,93065,National Household Survey,2011,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
3124,2011,Allied primary health practitioners,22,37,43,Labour Force Survey,2012-2013,HOUR,22,39.25,43,Labour Force Survey,2012-2013,HOUR,21.83,36,42.5,Labour Force Survey,2012-2013,HOUR,30,40,44.08,Labour Force Survey,2012-2013,HOUR,10.55,37.642,43.8718,National Household Survey,2011,HOUR,26.5,35,46,Labour Force Survey,2012-2013,HOUR,22,37,43,Labour Force Survey,2012-2013,HOUR,22,37,43,Labour Force Survey,2012-2013,HOUR,22,37,43,Labour Force Survey,2012-2013,HOUR
3125,2011,Other professional occupations in health diagnosing and treating,20786,54201,89531,National Household Survey,2011,YEAR,,,,NA,NA,YEAR,33505,66809,101509,National Household Survey,2011,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
3131,2011,Pharmacists,60129,95455,128235,National Household Survey,2011,YEAR,75862,101854,128638,National Household Survey,2011,YEAR,59045,89836,120520,National Household Survey,2011,YEAR,83620,106298,145828,National Household Survey,2011,YEAR,78636,98323,148514,2006 Census - Statistics Canada,2006,YEAR,22386,101761,139789,2006 Census - Statistics Canada,2006,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
3132,2011,Dietitians and nutritionists,16,32.545,38.9,Employment Insurance Data,2012-2013,HOUR,29.134,39.625,43.4213,National Household Survey,2011,HOUR,16,31.78,39.8905,Employment Insurance Data,2012-2013,HOUR,14,32.34,38.12,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
3141,2011,Audiologists and speech-language pathologists,30.27,37,42.23,Employment Insurance Data,2012-2013,HOUR,31.912,37.548,49.4852,National Household Survey,2011,HOUR,30.27,37.4369,44.6481,Employment Insurance Data,2012-2013,HOUR,30.27,37.63,45.05,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
3142,2011,Physiotherapists,25,35.5,48.08,Labour Force Survey,2012-2013,HOUR,32,36.865,39.81,Employment Insurance Data,2012-2013,HOUR,25,35.5,48.08,Labour Force Survey,2012-2013,HOUR,25,35.5,48.08,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,31.4,37.29,41.91,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
3143,2011,Occupational therapists,16,36.76,43,Labour Force Survey,2012-2013,HOUR,16,36.76,43,Labour Force Survey,2012-2013,HOUR,15,37.29,48,Labour Force Survey,2012-2013,HOUR,31.67,37.29,38.99,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
